terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
171,左岭,h,11号线,6:00,23:00,6:00,23:00,0
172,未来三路,h,11号线,6:02,23:02,6:03,23:03,1.444
173,未来一路,h,11号线,6:04,23:04,6:05,23:05,2.029
174,长岭山,h,11号线,6:07,23:07,6:08,23:08,2.153
175,光谷七路,h,11号线,6:10,23:10,6:10,23:10,2.802
176,豹澥,h,11号线,6:12,23:13,6:12,23:12,1.067
177,光谷六路,h,11号线,6:00,23:15,6:14,23:14,1.133
178,光谷五路,h,11号线,6:01,23:17,6:00,23:17,0.926
179,光谷四路,h,11号线,6:04,23:19,6:02,23:19,1.287
180,光谷生物园,h,11号线,6:06,23:21,6:05,23:22,1.075
181,光谷同济医院,h,11号线,6:09,23:24,6:08,23:25,1.42
182,湖口,h,11号线,6:11,23:26,6:10,23:28,1.94
37,光谷火车站,h,11号线,——,23:28,——,23:29,1.468
